review_id,review_text
1,"The world-building is a masterclass, every ruin has a history."
2,"Main quest is short, but the side content offers hundreds of hours."
3,"Combat feels clunky, like you're fighting the controls."
4,"The plot twist in Act 3 completely blew my mind."
5,"Voice acting is superb, brings the characters to life."
6,"Inventory management is a nightmare in the late game."
7,"Graphics are stunning, the vistas are breathtaking."
8,"Too many fetch quests that feel like filler."
9,"Character development is deep, I actually care what happens to them."
10,"The skill tree is massive, allows for great build diversity."
11,"Enemy AI is brainless, they just run into walls."
12,"Lore is dense, you have to read every book to understand the story."
13,"Choices actually matter and change the ending."
14,"Frame rate drops significantly in big cities."
15,"The romance options felt forced and cringey."
16,"Soundtrack is epic, especially during boss fights."
17,"One of the best open worlds I've ever explored."
18,"Quest tracking is bugged, map markers don't show up."
19,"The villain had no clear motivation, very one-dimensional."
20,"Magic system is complex and rewarding to master."
21,"Facial animations are stiff and uncanny valley."
22,"Dungeons are repetitive, copy-paste layouts."
23,"Took me 120 hours to beat, worth every penny."
24,"The pacing drags in the middle section."
25,"Crafting is useless, looted gear is always better."
26,"Dialogue wheels are misleading, my character said something totally different."
27,"Amazing atmosphere, really immerses you in the setting."
28,"Camera angles during fights are frustrating."
29,"New Game Plus adds a lot of replay value."
30,"Tutorial boss is way too hard for a new player."
31,"Text is too small to read from the couch."
32,"The political intrigue in the story is Game of Thrones level."
33,"Load times are painful on console."
34,"Companion AI is helpful, they actually pull their weight."
35,"Too many bugs at launch, wait for a patch."
36,"The morality system is too black and white."
37,"Best RPG since The Witcher 3."
38,"Stealth mechanics are broken, enemies see you through walls."
39,"Photo mode is great, took so many wallpapers."
40,"Loot system is addictive, always chasing better stats."
41,"The ending was rushed and left too many loose ends."
42,"Mini-games are surprisingly fun and well thought out."
43,"Character creator is detailed, spent 2 hours making my face."
44,"Difficulty spikes are random and unfair."
45,"Writing is witty and funny, actually made me laugh."
46,"Fast travel points are too few and far between."
47," DLC is overpriced for a 2-hour mission."
48,"The sense of discovery is unmatched."
49,"Boss mechanics are unique and challenging."
50,"A modern classic, sets a new bar for the genre."
